"chicken"	"weight"	"feed"
"1"	1	179	"horsebean"
"2"	12	160	"horsebean"
"3"	23	136	"horsebean"
"4"	34	227	"horsebean"
"5"	45	217	"horsebean"
"6"	56	168	"horsebean"
"7"	67	108	"horsebean"
"8"	70	124	"horsebean"
"9"	71	143	"horsebean"
"10"	2	140	"horsebean"
"11"	3	309	"linseed"
"12"	4	229	"linseed"
"13"	5	181	"linseed"
"14"	6	141	"linseed"
"15"	7	260	"linseed"
"16"	8	203	"linseed"
"17"	9	148	"linseed"
"18"	10	169	"linseed"
"19"	11	213	"linseed"
"20"	13	257	"linseed"
"21"	14	244	"linseed"
"22"	15	271	"linseed"
"23"	16	243	"soybean"
"24"	17	230	"soybean"
"25"	18	248	"soybean"
"26"	19	327	"soybean"
"27"	20	329	"soybean"
"28"	21	250	"soybean"
"29"	22	193	"soybean"
"30"	24	271	"soybean"
"31"	25	316	"soybean"
"32"	26	267	"soybean"
"33"	27	199	"soybean"
"34"	28	171	"soybean"
"35"	29	158	"soybean"
"36"	30	248	"soybean"
"37"	31	423	"sunflower"
"38"	32	340	"sunflower"
"39"	33	392	"sunflower"
"40"	35	339	"sunflower"
"41"	36	341	"sunflower"
"42"	37	226	"sunflower"
"43"	38	320	"sunflower"
"44"	39	295	"sunflower"
"45"	40	334	"sunflower"
"46"	41	322	"sunflower"
"47"	42	297	"sunflower"
"48"	43	318	"sunflower"
"49"	44	325	"meatmeal"
"50"	46	257	"meatmeal"
"51"	47	303	"meatmeal"
"52"	48	315	"meatmeal"
"53"	49	380	"meatmeal"
"54"	50	153	"meatmeal"
"55"	51	263	"meatmeal"
"56"	52	242	"meatmeal"
"57"	53	206	"meatmeal"
"58"	54	344	"meatmeal"
"59"	55	258	"meatmeal"
"60"	57	368	"casein"
"61"	58	390	"casein"
"62"	59	379	"casein"
"63"	60	260	"casein"
"64"	61	404	"casein"
"65"	62	318	"casein"
"66"	63	352	"casein"
"67"	64	359	"casein"
"68"	65	216	"casein"
"69"	66	222	"casein"
"70"	68	283	"casein"
"71"	69	332	"casein"
