ID	Lab	Rep	Sol	Target	M1	M2	M3	M4
2	A	1	1	2000	1068	1071	1067	1066
4	A	1	2	2000	1072	1068	1064	1067
6	A	1	3	2500	1333	1321	1326	1317
8	A	1	4	3000	1579	1576	1578	1572
10	A	1	5	3000	1579	1571	1579	1567
13	A	2	1	2000	1002	1001	1002	1003
15	A	2	2	2000	1008	1006	1009	1005
17	A	2	3	2500	1248	1248	1251	1246
19	A	2	4	3000	1487	1479	1483	1486
21	A	2	5	3000	1478	1485	1484	1484
24	B	1	1	2000	910	916	915	921
26	B	1	2	2000	913	923	914	921
28	B	1	3	2500	1129	1148	1136	1147
30	B	1	4	3000	1359	1378	1370	1373
32	B	1	5	3000	1349	1361	1359	1363
35	B	2	1	2000	869	869	875	870
37	B	2	2	2000	870	874	872	877
39	B	2	3	2500	1076	1084	1091	1082
41	B	2	4	3000	1297	1294	1292	1300
43	B	2	5	3000	1290	1286	1281	1291
46	C	1	1	2000	969	975	969	972
48	C	1	2	2000	969	960	960	966
50	C	1	3	2500	1196	1196	1209	1200
52	C	1	4	3000	1451	1440	1439	1449
54	C	1	5	3000	1439	1433	1433	1445
57	C	2	1	2000	763	764	768	770
59	C	2	2	2000	769	769	768	763
61	C	2	3	2500	957	957	962	958
63	C	2	4	3000	1152	1154	1154	1158
65	C	2	5	3000	1158	1152	1156	1158
67	D	1	1	2000	1122	1117	1119	1120
70	D	1	2	2000	1122	1110	1111	1116
72	D	1	3	2500	1386	1381	1381	1387
74	D	1	4	3000	1656	1663	1659	1665
76	D	1	5	3000	1658	1658	1661	1660
79	D	2	1	2000	1003	1011	1014	1015
81	D	2	2	2000	1008	1009	1011	1008
83	D	2	3	2500	1254	1259	1256	1252
85	D	2	4	3000	1505	1507	1501	1500
87	D	2	5	3000	1500	1503	1497	1496
90	E	1	1	2000	1357	1366	1376	1364
92	E	1	2	2000	1366	1362	1367	1368
94	E	1	3	2500	1704	1701	1716	1711
96	E	1	4	3000	2026	2021	2031	2038
98	E	1	5	3000	2050	2054	2048	2068
101	E	2	1	2000	1366	1352	1368	1360
103	E	2	2	2000	1359	1355	1368	1383
105	E	2	3	2500	1711	1724	1716	1712
107	E	2	4	3000	2028	2030	2037	2049
109	E	2	5	3000	2026	2051	2066	2063
112	F	1	1	2000	1362	1352	1351	1359
114	F	1	2	2000	1354	1346	1348	1354
116	F	1	3	2500	1684	1678	1682	1685
118	F	1	4	3000	2024	2004	2000	2020
120	F	1	5	3000	1997	1992	1975	1993
123	F	2	1	2000	1195	1196	1203	1199
125	F	2	2	2000	1215	1203	1208	1206
127	F	2	3	2500	1489	1483	1481	1487
129	F	2	4	3000	1783	1770	1762	1768
131	F	2	5	3000	1766	1750	1749	1748
134	G	1	1	2000	1082	1092	1091	1098
136	G	1	2	2000	1086	1098	1096	1096
138	G	1	3	2500	1378	1375	1382	1376
140	G	1	4	3000	1660	1665	1674	1672
142	G	1	5	3000	1654	1655	1665	1669
145	G	2	1	2000	1062	1072	1069	1067
147	G	2	2	2000	1071	1076	1074	1071
149	G	2	3	2500	1348	1350	1348	1351
151	G	2	4	3000	1602	1618	1616	1610
153	G	2	5	3000	1611	1616	1604	1609
156	H	1	1	2000	1360	1361	1360	1360
158	H	1	2	2000	1455	1456	1455	1456
160	H	1	3	2500	1816	1816	1815	1816
162	H	1	4	3000	2557	2558	2557	2558
164	H	1	5	3000	2615	2616	2615	2616
167	H	2	1	2000	1203	1204	1203	1204
169	H	2	2	2000	1377	1378	1377	1377
171	H	2	3	2500	1639	1639	1638	1639
173	H	2	4	3000	2298	2300	2298	2299
175	H	2	5	3000	2322	2323	2322	2323
178	I	1	1	2000	1067	1085	1078	1076
180	I	1	2	2000	1076	1089	1075	1088
182	I	1	3	2500	1361	1358	1347	1363
184	I	1	4	3000	1643	1645	1641	1640
186	I	1	5	3000	1623	1630	1641	1638
189	I	2	1	2000	1038	1037	1024	1033
191	I	2	2	2000	1035	1037	1027	1036
193	I	2	3	2500	1277	1279	1271	1284
195	I	2	4	3000	1543	1545	1557	1547
197	I	2	5	3000	1538	1533	1531	1540
200	J	1	1	2000	798	796	802	807
202	J	1	2	2000	805	797	799	801
204	J	1	3	2500	1003	999	997	1001
206	J	1	4	3000	1201	1199	1197	1206
208	J	1	5	3000	1208	1201	1199	1195
211	J	2	1	2000	804	807	799	796
213	J	2	2	2000	798	797	795	801
215	J	2	3	2500	997	995	1001	995
217	J	2	4	3000	1196	1195	1206	1201
219	J	2	5	3000	1202	1197	1197	1199
222	K	1	1	2000	1068	1048	1042	1052
224	K	1	2	2000	1053	1052	1054	1052
226	K	1	3	2500	1292	1314	1301	1310
228	K	1	4	3000	1573	1560	1552	1561
230	K	1	5	3000	1577	1574	1568	1549
232	K	2	1	2000	1047	1062	1055	1042
235	K	2	2	2000	1057	1062	1045	1048
237	K	2	3	2500	1312	1308	1304	1297
239	K	2	4	3000	1561	1559	1554	1539
241	K	2	5	3000	1560	1575	1548	1545
244	L	1	1	2000	1204	1208	1215	1214
246	L	1	2	2000	1203	1204	1210	1206
248	L	1	3	2500	1496	1501	1501	1508
250	L	1	4	3000	1789	1792	1811	1802
252	L	1	5	3000	1785	1782	1793	1801
255	L	2	1	2000	610	616	620	610
257	L	2	2	2000	606	614	615	605
259	L	2	3	2500	759	761	763	748
261	L	2	4	3000	909	917	916	899
263	L	2	5	3000	908	912	902	893
