ID	Weight	Height	Shoulder	Chest	Waist	Abdo	Hip	Thigh	Bicep	Forearm	Knee	Calf	Ankle	Wrist	Age	Sex
1	65.6	174.0	106.2	89.5	71.5	74.5	93.5	51.5	32.5	26.0	34.5	36.5	23.5	16.5	21.0	Male
2	71.8	175.3	110.5	97.0	79.0	86.5	94.8	51.5	34.4	28.0	36.5	37.5	24.5	17.0	23.0	Male
3	80.7	193.5	115.1	97.5	83.2	82.9	95.0	57.3	33.4	28.8	37.0	37.3	21.9	16.9	28.0	Male
4	72.6	186.5	104.5	97.0	77.8	78.8	94.0	53.0	31.0	26.2	37.0	34.8	23.0	16.6	23.0	Male
5	78.8	187.2	107.5	97.5	80.0	82.5	98.5	55.4	32.0	28.4	37.7	38.6	24.4	18.0	22.0	Male
6	74.8	181.5	119.8	99.9	82.5	80.1	95.3	57.5	33.0	28.0	36.6	36.1	23.5	16.9	21.0	Male
7	86.4	184.0	123.5	106.9	82.0	84.0	101.0	60.9	42.4	32.3	40.1	40.3	23.6	18.8	26.0	Male
8	78.4	184.5	120.4	102.5	76.8	80.5	98.0	56.0	34.1	28.0	39.2	36.7	22.5	18.0	27.0	Male
9	62.0	175.0	111.0	91.0	68.5	69.0	89.5	50.0	33.0	26.0	35.5	35.0	22.0	16.5	23.0	Male
10	81.6	184.0	119.5	93.5	77.5	81.5	99.8	59.8	36.5	29.2	38.3	38.6	22.2	16.9	21.0	Male
11	76.6	180.0	117.1	97.7	81.9	81.0	98.4	60.5	34.6	27.9	38.9	40.1	23.2	16.2	23.0	Male
12	83.6	177.8	123.5	99.5	82.6	82.5	95.0	58.5	38.5	30.4	39.0	38.4	24.3	18.2	22.0	Male
13	90.0	192.0	116.5	103.0	85.0	94.5	103.0	59.0	33.5	29.0	40.5	40.0	26.0	18.0	20.0	Male
14	74.6	176.0	113.0	99.6	85.6	89.2	98.0	59.1	35.6	29.0	35.8	36.0	21.5	16.6	26.0	Male
15	71.0	174.0	107.5	101.5	78.0	89.5	95.0	57.0	36.0	29.0	34.5	35.0	22.0	16.5	23.0	Male
16	79.6	184.0	112.0	104.1	82.0	84.0	97.0	56.0	34.5	29.5	39.0	35.7	24.0	17.5	22.0	Male
17	93.8	192.7	112.2	100.0	88.3	93.5	105.0	65.8	37.0	28.8	40.9	41.7	24.2	17.8	30.0	Male
18	70.0	171.5	120.0	93.8	73.6	74.9	90.1	54.1	31.2	26.9	36.4	35.6	22.0	17.1	22.0	Male
19	72.4	173.0	109.0	98.5	78.5	86.0	94.5	55.0	34.5	28.5	38.0	36.5	23.0	18.5	29.0	Male
20	85.9	176.0	118.5	104.0	87.3	88.0	101.1	59.5	37.0	30.5	39.8	42.0	26.5	18.8	22.0	Male
21	78.8	176.0	116.0	100.0	92.0	91.0	98.0	57.5	32.0	27.6	37.5	35.2	21.0	17.3	22.0	Male
22	77.8	180.5	111.0	100.0	80.0	83.7	99.5	57.0	37.0	30.0	37.5	35.5	23.0	18.0	20.0	Male
23	66.2	172.7	117.7	99.0	74.5	75.9	92.2	53.4	31.2	26.9	36.2	33.3	23.5	16.0	22.0	Male
24	86.4	176.0	123.9	101.0	90.6	89.6	101.2	59.5	37.0	28.3	35.4	40.6	22.9	17.0	24.0	Male
25	81.8	173.5	120.6	101.6	81.4	81.6	98.8	61.3	39.4	31.9	38.5	41.2	22.8	18.2	26.0	Male
26	89.6	178.0	129.5	108.8	89.5	89.5	106.0	59.5	37.5	30.1	39.9	41.5	23.5	19.0	24.0	Male
27	82.8	180.3	115.0	100.0	85.0	94.5	105.0	62.0	35.5	28.5	38.0	40.0	23.5	16.7	21.0	Male
28	76.4	180.3	116.0	88.0	73.5	77.7	97.0	56.3	32.5	27.8	39.0	38.2	23.5	17.8	24.0	Male
29	63.2	164.5	107.8	88.7	75.8	83.0	89.0	52.6	31.2	26.5	37.0	37.4	21.5	16.5	23.0	Male
30	60.9	173.0	100.2	84.5	74.0	81.0	93.5	50.5	27.5	24.8	34.0	32.8	21.0	15.6	19.0	Male
